PartyID,PartyName,LicenseTypeID,LicenseType,Current_Salesmen,Cases_Last45Days,Cases_FY25_26,City,Pincode,Address,Verdict,Notes
D00307,D S P WINES,180001,FL II (Wine shop),SM1=CROSS SUPPLY Â· SM3=SURESH NAIR,7676.5,23312.5,  2A,411 048,"SARVE,NO.30 ,HISSA NO.1 ,SHOP NO.1,2,3,NARHE, TAL .HAVELI .DIST .PUNE.",,
D06666,JUST ENJOY BEER & WINE SHOPEE,180004,Beer Shopee,SM3=SURESH NAIR,2298.0,7441.0,,,SR.NO 133/8/2 PUNE SASWAD ROAD URULI DEVACHI PUNE,,
D01290,ANUSHKA BEER SHOPPY (BT KAWADE),180004,Beer Shopee,SM3=OMKAR PAWAR,886.5,2054.5,PUNE,,"SR. NO. 49/24, B. T. KAWADE RD VATARE MALA PUNE",,
D01298,SAGAR BEER SHOPPY (HADAPSAR),180004,Beer Shopee,SM3=SURESH NAIR,871.0,1996.0,PUNE,,"SHOP NO.6, A BLDG. MANTARI NIW VAIDHYAWADI, HADAPSAR PUNE",,
D06149,PUNE WINES (MOHINI)(NUPUR),180001,FL II (Wine shop),SM3=SURESH NAIR,642.0,1533.0,PUNE,411001,"MILAKAT NO.625/17/18,SHOP NO.7,8,KHARABWADI,TAL-KHED,DIST-PUNE",,
D01257,LIQUOR WINDS BEER SHOPEE(MULSH,180004,Beer Shopee,SM3=SURESH NAIR,589.5,1541.5,PUNE,,"MILKAT NO. 429, KASAR AMBOLI,TAL-MULSHI DIST-PUNE",,
D00616,SAFEWAY WINES (KHED),180001,FL II (Wine shop),SM3=SURESH NAIR,560.0,560.0,PUNE,,PLOT NO : 34 TAL : KHED DIST :- PUNE,,
D06398,TRIMURTY BEER SHOPPE (KHED SHIVAPUR),180004,Beer Shopee,SM1=Z KISHOR CHANDAK Â· SM3=SURESH NAIR,554.0,981.0,PUNE,,"MILKAT NO 963 B, GAT NO 782, VELU-PHATA, TAL BHOR, DIST PUNE",,
D02249,BOTTOM UP,180001,FL II (Wine shop),SM1=SACHIN KAMBLE Â· SM2=AJAY Â· SM3=SURESH NAIR,543.0,694.0,PUNE,,SHOP NO 4 & 5  NEXT  TO PREMS RESTAURANT NORTH MAIN ROAD KOREGAON PARK,,
D07319,KOHINOOR BEER SHOPPE (MULSHI),180004,Beer Shopee,SM3=SURESH NAIR,533.0,646.0,PUNE CITY,,"SUSGAON , TAL MULSHI, DIST PUNE",,
D07755,MARNE BEER SHOPPY ,180004,Beer Shopee,SM3=SURESH NAIR,454.0,454.0,PUNE,,"OLD MILKAT NO 250 NEW MILKAT NO 242 AT / POST LAWARDE ,TAL MULSHI ,PUNE - 411042",,
D00608,MUKESH WINES (VADGAON SHERI),180001,FL II (Wine shop),SM1=SACHIN KAMBLE Â· SM2=AJAY Â· SM3=OMKAR PAWAR,452.0,1387.0,  1,,"SHOP NO. 1,SHREE NAGAVA APT. NEAR NIRAMAY HOSPITAL, VADGAON SHERI, PUNE.",,
