PartyID,PartyName,LicenseTypeID,LicenseType,SM1_Name,SM3_Name,City,Cases,TrueChannel,Verdict,Notes
D00307,D S P WINES,180001,FL II (Wine shop),CROSS SUPPLY,SURESH NAIR,  2A,2190.0,KW Beer,,
D07755,MARNE BEER SHOPPY ,180004,Beer Shopee,,SURESH NAIR,PUNE,385.0,KW Beer,,
D07331,SAGAR BEER SHOPEE (KADAMWAK WASTI),180004,Beer Shopee,,SURESH NAIR,PUNE CITY,230.0,KW Beer,,
D06398,TRIMURTY BEER SHOPPE (KHED SHIVAPUR),180004,Beer Shopee,Z KISHOR CHANDAK,SURESH NAIR,PUNE,222.0,KW Beer,,
D07433,PENGUIN BEER SHOPEE ( MULSHI),180004,Beer Shopee,,SURESH NAIR,PUNE CITY,188.0,KW Beer,,
D01257,LIQUOR WINDS BEER SHOPEE(MULSH,180004,Beer Shopee,,SURESH NAIR,PUNE,165.0,KW Beer,,
D01875,EMPRESS WINES.,180001,FL II (Wine shop),CROSS SUPPLY,SURESH NAIR,PUNE,93.0,KW Beer,,
D00007,ALCHO DRINKS( MOSHI ),180001,FL II (Wine shop),CROSS SUPPLY,SURESH NAIR,  4,85.0,KW Beer,,
D07420,SHREYA BEER SHOPEE (JUNNAR),180004,Beer Shopee,,SURESH NAIR,,80.0,KW Beer,,
D06149,PUNE WINES (MOHINI)(NUPUR),180001,FL II (Wine shop),,SURESH NAIR,PUNE,70.0,KW Beer,,
D06761,BLUE OCEAN BEER SHOPEE (KHARADI),180004,Beer Shopee,,SURESH NAIR,PUNE,67.0,KW Beer,,
D00142,NATIONAL WINES (CLOUD9),180001,FL II (Wine shop),SACHIN KAMBLE,SURESH NAIR,  2,60.0,KW Beer,,
D07200,ROYAL BEER SHOPEE (PIMPRI),180004,Beer Shopee,,SURESH NAIR,PUNE,57.0,KW Beer,,
D01993,VIKRANT WINES ( KALEWADI ),180001,FL II (Wine shop),,SURESH NAIR,PUNE,55.0,KW Beer,,
D00068,ELLORA WINES (BAVDHAN KHURD),180001,FL II (Wine shop),SHASHANK,,PUNE CITY,55.0,KW Beer,,
D06153,SOURABH BEER SHOPEE ( CHINCHWAD ),180004,Beer Shopee,,SURESH NAIR,PUNE,55.0,KW Beer,,
D07716,YASHRAJ HOTEL,180002,FL III (Permit Room),,SURESH NAIR,,51.2821,Institution,,
D00265,PRAKASH WINES (KALYANI NAGAR),180001,FL II (Wine shop),SACHIN KAMBLE,SURESH NAIR,  2A,46.0,KW Beer,,
D01950,ROHAN WINES(KALBHOR WINES),180001,FL II (Wine shop),Z VIJAY BHAIKATTE,SURESH NAIR,PUNE,46.0,KW Beer,,
D02256,KUMAR WINES ( HANDEWADI ),180001,FL II (Wine shop),SACHIN KAMBLE,SURESH NAIR,PUNE,45.0,KW Beer,,
D02376,TAJ WINES ( PIMPLE SAUDAGAR ),180001,FL II (Wine shop),CROSS SUPPLY,SURESH NAIR,PUNE,43.0,KW Beer,,
