PartyID,PartyName,LicenseType,SM1_Name,SM3_Name,City,Cases,ShouldBe,Verdict,Notes
D01875,EMPRESS WINES.,FL II (Wine shop),CROSS SUPPLY,SURESH NAIR,PUNE,93.0,KW Beer,,
D00007,ALCHO DRINKS( MOSHI ),FL II (Wine shop),CROSS SUPPLY,SURESH NAIR,  4,85.0,KW Beer,,
D06149,PUNE WINES (MOHINI)(NUPUR),FL II (Wine shop),,SURESH NAIR,PUNE,70.0,KW Beer,,
D07200,ROYAL BEER SHOPEE (PIMPRI),Beer Shopee,,SURESH NAIR,PUNE,57.0,KW Beer,,
D01993,VIKRANT WINES ( KALEWADI ),FL II (Wine shop),,SURESH NAIR,PUNE,55.0,KW Beer,,
D00068,ELLORA WINES (BAVDHAN KHURD),FL II (Wine shop),SHASHANK,,PUNE CITY,55.0,KW Beer,,
D06153,SOURABH BEER SHOPEE ( CHINCHWAD ),Beer Shopee,,SURESH NAIR,PUNE,55.0,KW Beer,,
D00265,PRAKASH WINES (KALYANI NAGAR),FL II (Wine shop),SACHIN KAMBLE,SURESH NAIR,  2A,46.0,KW Beer,,
D01950,ROHAN WINES(KALBHOR WINES),FL II (Wine shop),Z VIJAY BHAIKATTE,SURESH NAIR,PUNE,46.0,KW Beer,,
D02376,TAJ WINES ( PIMPLE SAUDAGAR ),FL II (Wine shop),CROSS SUPPLY,SURESH NAIR,PUNE,43.0,KW Beer,,
D00099,JAISHREE WINES,FL II (Wine shop),CROSS SUPPLY,SURESH NAIR,,42.0,KW Beer,,
D00875,PRASAD WINES(DEEP BUNGLOW),FL II (Wine shop),SHASHANK,SURESH NAIR,  4,40.0,KW Beer,,
D01400,WINE TURMINAL (VIMANNAGAR),FL II (Wine shop),SACHIN KAMBLE,SURESH NAIR,  7,40.0,KW Beer,,
D00370,UMESH WINES,FL II (Wine shop),,SURESH NAIR,,38.0,KW Beer,,
D02506,AJIT WINES.( CHIKHALI ),FL II (Wine shop),,SURESH NAIR,PUNE,37.0,KW Beer,,
D00248,MAHESH WINES,FL II (Wine shop),SACHIN KAMBLE,SURESH NAIR,  7,35.0,KW Beer,,
D07199,JAI LAXMAN RAJPUT CONTURY LIQ,CL III (OTHERS),,SURESH NAIR,PUNE,35.0,KW Beer,,
D02662,VAISHALI BEER SHOPPE ( PIMPRI ),Beer Shopee,,SURESH NAIR,PUNE,33.0,KW Beer,,
D00210,SHAKTI WINES (PASHAN),FL II (Wine shop),SHASHANK,SURESH NAIR,  8,32.0,KW Beer,,
D07194,YARANA BEER SHOPEE (PIMPRI),Beer Shopee,,SURESH NAIR,PUNE,31.0,KW Beer,,
